user_id,phone,password,age,height,weight,gender,allergens,chronic_diseases
1,13800138000,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,25,170.5,65.0,男,花生,高血压
2,13800138001,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,30,160.2,55.3,女,牛奶,高血糖
3,13800138002,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,22,175.0,70.0,男,海鲜,高血脂
4,13800138003,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,28,165.4,60.2,女,鸡蛋,"高血压,高血糖"
5,13800138004,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,35,180.3,80.5,男,坚果,高血脂
6,13800138005,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,27,158.7,52.0,女,小麦,高血压
7,13800138006,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,31,172.1,68.4,男,大豆,高血糖
8,13800138007,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,26,163.5,57.6,女,鱼类,高血脂
9,13800138008,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,29,177.8,75.0,男,虾类,"高血压,高血脂"
10,13800138009,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,24,168.9,62.3,女,蟹类,高血糖
11,13800138010,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,33,182.0,85.0,男,芒果,高血压
12,13800138011,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,21,155.0,50.0,女,草莓,高血脂
13,13800138012,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,32,178.5,78.0,男,桃子,高血糖
14,13800138013,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,27,162.3,56.7,女,番茄,"高血压,高血糖"
15,13800138014,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,36,185.0,90.0,男,菠萝,高血脂
16,13800138015,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,23,159.8,53.2,女,香蕉,高血压
17,13800138016,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,34,173.2,70.5,男,猕猴桃,高血糖
18,13800138017,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,28,164.7,58.9,女,橙子,高血脂
19,13800138018,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,31,179.3,76.8,男,葡萄,"高血压,高血脂"
20,13800138019,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,24,168.0,60.0,女,梨,高血糖
21,13800138020,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,26,161.0,54.5,女,花生,高血压
22,13800138021,$2b$12$c6ngTIvpvwLR/0SQAa8l2.q3v3efZVR8uyjp/L5omQdc6vGTQ.UIe,35,178.2,80.4,男,牛奶,高血糖
